"","Univers","n"
"163","федеральное государственное бюджетное образовательное учреждение высшего образования «Московский политехнический университет»",4
"164","Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт‑Петербургская государственная академия ветеринарной медицины»",1
"165","Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный медицинский университет» Министерства здравоохранения Российской Федерации",2
"166","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Адыгейский государственный университет&quot;",1
"167","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Алтайский государственный технический университет им. И.И. Ползунова&quot;",2
"168","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Алтайский государственный университет&quot;",10
"169","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Амурский государственный университет&quot;",1
"170","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Арктический государственный институт искусств и культуры&quot;",1
"171","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Астраханский государственный технический университет&quot;",2
"172","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Астраханский государственный университет&quot;",1
"173","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Башкирский государственный аграрный университет&quot;",1
"174","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Башкирский государственный университет&quot;",10
"175","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Белгородский государственный технологический университет им. В.Г. Шухова&quot;",10
"176","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Брянский государственный университет имени академика И.Г.Петровского&quot;",3
"177","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых&quot;",2
"178","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Волгоградский государственный медицинский университет&quot; Министерства здравоохранения Российской Федерации",1
"179","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Волгоградский государственный технический университет&quot;",10
"180","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Вологодский государственный университет&quot;",2
"181","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Воронежский государственный педагогический университет&quot;",2
"182","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Воронежский государственный университет инженерных технологий&quot;",3
"183","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Воронежский государственный университет&quot;",29
"184","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Восточно-Сибирский государственный университет технологий и управления&quot;",1
"185","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Восточно-Сибирский государственный университет технологий и управления&quot;",2
"186","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Вятский государственный университет&quot;",4
"187","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Государственный академический университет гуманитарных наук&quot;",4
"188","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Государственный институт русского языка им. А.С. Пушкина&quot;",1
"189","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Государственный университет управления&quot;",2
"190","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Дагестанский государственный университет&quot;",1
"191","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Дальневосточный государственный медицинский университет&quot; Министерства здравоохранения Российской Федерации",1
"192","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Елецкий государственный университет им. И.А. Бунина&quot;",1
"193","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ивановский государственный химико-технологический университет&quot;",12
"194","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ивановский государственный энергетический университет имени В.И. Ленина&quot;",2
"195","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ижевская государственная медицинская академия&quot; Министерства здравоохранения Российской Федерации",2
"196","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ижевский государственный технический университет имени М.Т. Калашникова&quot;",6
"197","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Иркутский государственный университет&quot;",26
"198","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Иркутский национальный исследовательский технический университет&quot;",1
"199","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Кабардино-Балкарский государственный университет им. Х. М. Бербекова&quot;",1
"200","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Казанский государственный медицинский университет&quot; Министерства здравоохранения Российской Федерации",11
"201","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Казанский государственный энергетический университет&quot;",2
"202","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ&quot;",9
"203","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Казанский национальный исследовательский технологический университет&quot;",12
"204","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Калмыцкий государственный университет имени Б.Б. Городовикова&quot;",3
"205","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Калужский государственный университет им. К.Э. Циолковского&quot;",3
"206","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Кемеровский государственный университет&quot;",2
"207","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Комсомольский-на-Амуре государственный университет&quot;",3
"208","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Костромской государственный университет&quot;",4
"209","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого&quot; Министерства здравоохранения Российской Федерации",5
"210","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Кубанский государственный технологический университет&quot;",1
"211","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Кубанский государственный технологический университет&quot;",1
"212","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Кубанский государственный университет&quot;",13
"213","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Кузбасский государственный технический университет имени Т.Ф. Горбачева&quot;",2
"214","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Курский государственный медицинский университет&quot; Министерства здравоохранения Российской Федерации",1
"215","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Курский государственный университет&quot;",1
"216","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Липецкий государственный технический университет&quot;",1
"217","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Магнитогорский государственный технический университет им. Г.И. Носова&quot;",3
"218","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Марийский государственный университет&quot;",2
"219","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;МИРЭА - Российский технологический университет&quot;",19
"220","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Морской государственный университет имени адмирала Г.И. Невельского&quot;",2
"221","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московская государственная академия ветеринарной медицины и биотехнологии – МВА имени К.И. Скрябина&quot;",2
"222","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский авиационный институт (национальный исследовательский университет)&quot;",27
"223","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский автомобильно-дорожный государственный технический университет&quot;",1
"224","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский архитектурный институт (государственная академия)&quot;",1
"225","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный лингвистический университет&quot;",6
"226","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный медико-стоматологический университет имени А.И. Евдокимова&quot; Министерства здравоохранения Российской Федерации",9
"227","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный психолого-педагогический университет&quot;",4
"228","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)&quot;",29
"229","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный технологический университет &quot;СТАНКИН&quot;",10
"230","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный университет геодезии и картографии&quot;",1
"231","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный университет имени M.В.Ломоносова&quot;",595
"232","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский педагогический государственный университет&quot;",8
"233","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Мурманский государственный технический университет&quot;",2
"234","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Национальный исследовательский Мордовский государственный университет им. Н. П. Огарёва&quot;",7
"235","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Национальный исследовательский Московский государственный строительный университет&quot;",1
"236","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Национальный исследовательский университет &quot;МЭИ&quot;",49
"237","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Нижегородский государственный технический университет им. Р.Е. Алексеева&quot;",26
"238","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Новгородский государственный университет имени Ярослава Мудрого&quot;",5
"239","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Новосибирский государственный аграрный университет&quot;",5
"240","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Новосибирский государственный архитектурно-строительный университет (Сибстрин)&quot;",1
"241","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Новосибирский государственный технический университет&quot;",10
"242","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Новосибирский государственный университет экономики и управления &quot;НИНХ&quot;",1
"243","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Омский государственный аграрный университет имени П.А. Столыпина&quot;",2
"244","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Омский государственный технический университет&quot;",10
"245","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Омский государственный университет им. Ф.М. Достоевского&quot;",4
"246","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Оренбургский государственный педагогический университет&quot;",1
"247","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Орловский государственный аграрный университет имени Н.В. Парахина&quot;",1
"248","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Орловский государственный университет имени И.С. Тургенева&quot;",6
"249","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Пензенский государственный технологический университет&quot;",2
"250","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Пензенский государственный университет&quot;",9
"251","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова&quot; Министерства здравоохранения Российской Федерации",4
"252","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Пермский государственный гуманитарно-педагогический университет&quot;",3
"253","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Пермский государственный национальный исследовательский университет&quot;",17
"254","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Пермский национальный исследовательский политехнический университет&quot;",24
"255","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Петрозаводский государственный университет&quot;",7
"256","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Поволжский государственный технологический университет&quot;",4
"257","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Приамурский государственный университет имени Шолом-Алейхема&quot;",2
"258","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Приволжский исследовательский медицинский университет&quot; Министерства здравоохранения Российской Федерации",15
"259","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации&quot;",7
"260","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский государственный аграрный университет - МСХА имени К.А. Тимирязева&quot;",6
"261","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский государственный гидрометеорологический университет&quot;",6
"262","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский государственный гуманитарный университет&quot;",16
"263","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский государственный педагогический университет им. А. И. Герцена&quot;",3
"264","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский национальный исследовательский медицинский университет имени Н.И. Пирогова&quot; Министерства здравоохранения Российской Федерации",8
"265","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский химико-технологический университет имени Д.И. Менделеева&quot;",19
"266","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский экономический университет имени Г.В. Плеханова&quot;",2
"267","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ростовский государственный медицинский университет&quot; Министерства здравоохранения Российской Федерации",2
"268","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ростовский государственный университет путей сообщения&quot;",7
"269","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ростовский государственный экономический университет (РИНХ)&quot;",1
"270","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Рыбинский государственный авиационный технический университет имени П. А. Соловьёва&quot;",1
"271","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Рязанский государственный радиотехнический университет имени В.Ф. Уткина&quot;",1
"272","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Рязанский государственный радиотехнический университет&quot;",5
"273","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Рязанский государственный университет имени С.А. Есенина&quot;",4
"274","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Самарский государственный социально-педагогический университет&quot;",3
"275","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Самарский государственный технический университет&quot;",50
"276","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский горный университет&quot;",12
"277","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова&quot;",2
"278","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный педиатрический медицинский университет&quot; Министерства здравоохранения Российской Федерации",4
"279","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный технологический институт (технический университет)&quot;",7
"280","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный университет гражданской авиации&quot;",2
"281","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный университет&quot;",314
"282","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный экономический университет&quot;",3
"283","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Саратовский государственный аграрный университет имени Н.И. Вавилова&quot;",1
"284","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Саратовский государственный технический университет имени Гагарина Ю.А.&quot;",18
"285","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского&quot;",44
"286","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Северо-Осетинский государственный университет имени Коста Левановича Хетагурова&quot;",1
"287","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Сибирский государственный индустриальный университет&quot;",5
"288","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Сибирский государственный медицинский университет&quot; Министерства здравоохранения Российской Федерации",5
"289","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Сибирский государственный университет геосистем и технологий&quot;",1
"290","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Смоленский государственный университет&quot;",1
"291","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тамбовский государственный технический университет&quot;",7
"292","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тамбовский государственный университет имени Г.Р. Державина&quot;",12
"293","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тверской государственный технический университет&quot;",7
"294","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тверской государственный университет&quot;",4
"295","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тихоокеанский государственный университет&quot;",3
"296","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тольяттинский государственный университет&quot;",5
"297","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Томский государственный архитектурно-строительный университет&quot;",1
"298","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Томский государственный педагогический университет&quot;",1
"299","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Томский государственный университет систем управления и радиоэлектроники&quot;",10
"300","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тульский государственный университет&quot;",2
"301","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тюменский индустриальный университет&quot;",1
"302","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Удмуртский государственный университет&quot;",6
"303","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ульяновский государственный университет&quot;",5
"304","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Уральский государственный аграрный университет&quot;",4
"305","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Уральский государственный архитектурно-художественный университет&quot;",1
"306","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Уральский государственный горный университет&quot;",1
"307","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Уральский государственный педагогический университет&quot;",2
"308","Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Уфимский государственный авиационный технический университет&quot;",16
"309","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Уфимский государственный нефтяной технический университет&quot;",2
